CTH2409-00535!VIPERFISH|PLATFORMS-SERVER!2024-02-27 19:49:40!PCIE_VFC3_WIDTH!value='x8' lower_limit='x16' upper_limit=''!NDF!Change slot!510008:SYSTEM TEST
CTH2408-06189!VIPERFISH|PLATFORMS-SERVER!2024-02-28 07:45:21!PCIE_DEVPATH_MISSING!^/phys/PE\d/IO0/CDFP/DOWNLINK/VFC3:device:asic!DB03!replace cold plate!510008:SYSTEM TEST
CTH2402-00106!VIPERFISH|PLATFORMS-SERVER!2024-02-14 03:17:41!VF_SI_ERROR!Failing Child Step='vfsi_cdmii - Diag';vf_si Empty csv file!DB03!Dis PCBA to debug!510008:SYSTEM TEST
CTH2405-10472!VIPERLITE POD|PLATFORMS-SERVER!2024-02-28 07:40:10!VX_POWER_TIMEOUT!Failing Child Step='pcm_burnin - vx-power-execution';vx_power binary failed to finish in alloted time (waited for 15m30s)!DB03!Replace HS VLC1 [NTGFKZ234306095]!510008:SYSTEM TEST
CTH2406-00501!VIPERFISH|PLATFORMS-SERVER!2024-02-28 07:13:31!EXCESSIVE_TGEN_TEST_STATUS!Failing Child Step='hbm_tgen_pv - hbm_tgen_pv-run-test-tdp_no_hbm-bank_stress_normal';Attribute 'tgen-test-status' has 1 violated entries during tgen-bank_stress_normal. Violated entries: block-6!DB03!DIS PCB TO DEBUG!510008:SYSTEM TEST
CTH2350-01864!VIPERFISH|PLATFORMS-SERVER!2024-02-14 03:17:41!vf_si_unexpected_fail!Failing Child Step='vfsi_cdmii - vfsi';vf_si binary have non-zero return value: 1!DB03!Dis PCBA to debug!510008:SYSTEM TEST
CTH2409-70166!VIPERLITE POD|PLATFORMS-SERVER!2024-02-28 06:40:07!EXCESSIVE_VX_THERMAL_IMPEDANCE!Failing Child Step='thermal_impedance_with_retry - Diag';Attribute 'vx-thermal-impedance' has 1 violated entries. Violated entries: asic-thermal-impedance!DB03!Replace H/S VLC_1  (NTGFKP234505471)!510008:SYSTEM TEST
CTH2408-01830!VIPERFISH|PLATFORMS-SERVER!2024-02-27 18:57:40!MISSING_MEASUREMENT!Could not find measurements for 1 spec(s).!DB03!Dis PCBA to debug!510008:SYSTEM TEST
CTH2405-03981!VIPERFISH|PLATFORMS-SERVER!2024-02-27 12:14:22!OSFP_MISSING!Failed to find phys/PE0/IO0/CDFP/DOWNLINK:device:osfp_mgmt_10 in hardware parts.!DB03!DIS PCB TO DEBUG!510008:SYSTEM TEST
CTH2408-03946!VIPERFISH|PLATFORMS-SERVER!2024-02-28 07:14:30!VX_PV_TGEN_FAILED!Failing Child Step='hbm_tgen_pv - hbm_tgen_pv-run-test';INTERNAL: TC0 is halted before Stop flag was set. Core Status: run_state = 2 pc=314 halted_due_to_instruction=false!DB03!Dis PCBA to debug!510008:SYSTEM TEST
CTH2408-02053!VIPERFISH|PLATFORMS-SERVER!2024-02-28 06:51:47!VX_PV_TGEN_FAILED!Failing Child Step='hbm_tgen_pv - hbm_tgen_pv-run-test';INTERNAL: TC1 is halted before Stop flag was set. Core Status: run_state = 2 pc=366 halted_due_to_instruction=false!DB03!Dis PCBA to debug!510008:SYSTEM TEST
CTH2408-02729!VIPERFISH|PLATFORMS-SERVER!2024-02-28 06:51:37!tpu_error_p5x_execution!Failing Child Step='Tpu Sdc - p5x-execution';Target tray0chip1 Iteration 0, Unable to read results file /data/tmp/tmp7i4ni1i8/tray0chip1/iteration0/golden_comparison_results.textproto, P5x failed!DB03!Dis PCBA to debug!510008:SYSTEM TEST
CTH2408-03032!VIPERFISH|PLATFORMS-SERVER!2024-02-28 06:33:53!OSFP_MISSING!Failed to find phys/PE0/IO0/CDFP/DOWNLINK:device:osfp_mgmt_7 in hardware parts.!DB03!Dis PCBA to debug!510008:SYSTEM TEST
CTH2351-00808!VIPERFISH|PLATFORMS-SERVER!2024-02-14 03:17:41!VF_SI_ICI_SERDES_FAIL!!DB03!Dis PCBA to debug!510008:SYSTEM TEST
