"CTH2405-04017!VIPERFISH|PLATFORMS-SERVER!2024-02-09 04:13:11!VX_POWER_EXECUTION!Failing Child Step='vf_tdp_thermal_impedance - vx-power-execution';vx_power finished with errors:;E0206 02:19:02.394089   36585 async_driver.cc:487] [device_path: 	 ""/dev/vfio/139"" mode: KERNEL]!NDF!Change slot!510008:SYSTEM TEST"
CTH2404-02388!VIPERFISH|PLATFORMS-SERVER!2024-02-08 19:38:01!STETHOSCOPE_STOP_ERROR!Failing Child Step='vf_tdp_thermal_impedance - Stop Stethoscope';Error stopping Stethoscope: sensor data exceed thresholds or have no readings!DB03!Dis PCBA to debug!510008:SYSTEM TEST
CTH2405-06201!VIPERFISH|PLATFORMS-SERVER!2024-02-08 18:45:53!invalid_test_case_results!Failing Child Step='seaworthy_margin_down [Voltage Margin DOWN] - seaworthy_iteration_0';Result is missing Chip Info.!DB03!Dis PCBA to debug!510008:SYSTEM TEST
CTH2405-06603!VIPERFISH|PLATFORMS-SERVER!2024-02-08 19:38:38!EXCESSIVE_TGEN_TEST_STATUS!Failing Child Step='hbm_qc_delay - hbm_qc_delay-run-tgen-test-random_read_write';Attribute 'tgen-test-status' has 1 violated entries during tgen-random_read_write. Violated entries: block-3-node-!DB03!Dis PCBA to debug!510008:SYSTEM TEST
CTH2406-00472!VIPERFISH|PLATFORMS-SERVER!2024-02-08 23:32:11!flow_rate_error!Failing flow rate spec.!DB03!replace cold plate!510008:SYSTEM TEST
CTH2405-00216!VIPERFISH|PLATFORMS-SERVER!2024-02-08 19:38:30!EXCESSIVE_VX_POWER_RUN_STATUS!Failing Child Step='vf_tdp_thermal_impedance - tdp';Attribute 'vx-power-run-status' has 2 violated entries during vx-power-tdp. Violated entries: TENSOR_CORE_0,tensor_core_0-mxu-status!DB03!Dis PCBA to debug!510008:SYSTEM TEST
CTH2405-05299!VIPERFISH|PLATFORMS-SERVER!2024-02-08 14:01:41!MISSING_MEASUREMENT!Could not find measurements for 1 spec(s).!DB03!Dis PCBA to debug!510008:SYSTEM TEST
CTH2352-10350!VIPERLITE POD|PLATFORMS-SERVER!2024-02-09 02:48:56!PCIE_DEVPATH_MISSING!^/phys/PE\d/CDFP/DOWNLINK/VLC3:device:asic!DB03!Dis PCBA to debug!510008:SYSTEM TEST
CTH2405-01839!VIPERFISH|PLATFORMS-SERVER!2024-02-09 04:09:13!flow_rate_0.6_gpm!value='0.87' lower_limit='0.54' upper_limit='0.66'!DB03!replace cold plate!510008:SYSTEM TEST
CTH2406-00367!VIPERFISH|PLATFORMS-SERVER!2024-02-09 04:07:54!flow_rate_0.6_gpm!value='0.89' lower_limit='0.54' upper_limit='0.66'!DB03!replace cold plate!510008:SYSTEM TEST
CTH2406-00369!VIPERFISH|PLATFORMS-SERVER!2024-02-09 01:47:21!flow_rate_0.6_gpm!value='0.94' lower_limit='0.54' upper_limit='0.66'!DB03!replace cold plate!510008:SYSTEM TEST
CTH2406-00305!VIPERFISH|PLATFORMS-SERVER!2024-02-09 04:09:30!flow_rate_0.6_gpm!value='0.9' lower_limit='0.54' upper_limit='0.66'!DB03!replace cold plate!510008:SYSTEM TEST
"CTH2405-00226!VIPERFISH|PLATFORMS-SERVER!2024-02-09 01:45:55!VX_POWER_EXECUTION!Failing Child Step='vf_tdp_thermal_impedance - vx-power-execution';vx_power finished with errors:;E0129 22:02:55.957353   35511 async_driver.cc:487] [device_path: 	 ""/dev/vfio/138"" mode: KERNEL]!DB03!Dis PCBA to debug!510008:SYSTEM TEST"
CTH2405-07066!VIPERFISH|PLATFORMS-SERVER!2024-02-08 15:09:36!EXCESSIVE_TGEN_TEST_STATUS!Failing Child Step='hbm_qc_delay - hbm_qc_delay-run-tgen-test-si_all';Attribute 'tgen-test-status' has 1 violated entries during tgen-si_all. Violated entries: block-36-node-1-si_all!DB03!Dis PCBA to debug!510008:SYSTEM TEST
"CTH2405-06683!VIPERFISH|PLATFORMS-SERVER!2024-02-09 00:57:02!VX_POWER_EXECUTION!Failing Child Step='vf_tdp_thermal_impedance - vx-power-execution';vx_power finished with errors:;E0201 23:04:24.863498   36386 async_driver.cc:487] [device_path: 	 ""/dev/vfio/137"" mode: KERNEL]!DB03!Dis pcba ot Debug!510008:SYSTEM TEST"
CTH2405-00135!VIPERFISH|PLATFORMS-SERVER!2024-02-08 23:10:12!VXC_RESTORE_HBM_FAILED!Failing Child Step='hbm_tgen_pv - hbm_tgen_pv';VxC HBM Configuration failed: Command /export/hda3/tests/vf_hwqual_setup_fabs/vf_hbm -id 2 -reset --noenvelope_enabled failed. Output:;STDERR: E0129!DB03!Dis PCBA to debug!510008:SYSTEM TEST
CTH2405-05279!VIPERFISH|PLATFORMS-SERVER!2024-02-09 03:55:18!OSFP_MISSING!Failed to find phys/PE0/IO0/CDFP/DOWNLINK:device:osfp_mgmt_1 in hardware parts.!DB03!Dis PCBA to debug!510008:SYSTEM TEST
CTH2349-14437!VIPERLITE POD|PLATFORMS-SERVER!2024-02-06 20:20:28!EXCESSIVE_VX_THERMAL_IMPEDANCE!Failing Child Step='thermal_impedance_with_retry - Diag';Attribute 'vx-thermal-impedance' has 1 violated entries. Violated entries: asic-thermal-impedance!DB03!Replace Heatsink VLC_0 (NTGFKP233109900)!510008:SYSTEM TEST
CTH2405-00290!VIPERFISH|PLATFORMS-SERVER!2024-02-08 18:57:54!EXCESSIVE_VX_POWER_RUN_STATUS!Failing Child Step='vf_tdp_thermal_impedance - tdp';Attribute 'vx-power-run-status' has 1 violated entries during vx-power-tdp. Violated entries: UNKNOWN_0!DB03!DIS PCB TO DEBUG!510008:SYSTEM TEST
